DateTime,Players,neg_sent_count,neu_sent_count,pos_sent_count,Twitch_Viewers,pos_dist
6/6/2016,943,0,3,3,0,0.5
6/7/2016,915,4,2,3,0,0.333333333
6/8/2016,864,1,1,0,0,0
6/9/2016,894,0,1,3,0,0.75
6/10/2016,809,2,1,2,0,0.4
6/11/2016,867,0,1,3,0,0.75
6/12/2016,956,1,2,1,0,0.25
6/13/2016,755,1,0,1,0,0.5
6/14/2016,839,1,0,1,0,0.5
6/15/2016,814,0,2,6,0,0.75
6/16/2016,682,2,3,1,0,0.166666667
6/17/2016,821,0,0,1,0,1
6/18/2016,967,5,0,2,0,0.285714286
6/19/2016,950,2,0,6,0,0.75
6/20/2016,703,1,3,4,0,0.5
6/21/2016,720,0,1,4,0,0.8
6/22/2016,741,1,2,3,0,0.5
6/23/2016,753,6,3,23,0,0.71875
6/24/2016,1046,5,2,12,0,0.631578947
6/25/2016,1158,4,2,8,0,0.571428571
6/26/2016,1513,0,6,4,0,0.4
6/27/2016,1138,1,2,13,0,0.8125
6/28/2016,1406,3,1,16,0,0.8
6/29/2016,1319,6,4,11,0,0.523809524
6/30/2016,1086,4,4,3,0,0.272727273
7/1/2016,1268,2,1,10,0,0.769230769
7/2/2016,1212,1,2,5,0,0.625
7/3/2016,1537,2,0,9,0,0.818181818
7/4/2016,1659,0,5,12,0,0.705882353
7/5/2016,1202,1,2,4,0,0.571428571
7/6/2016,1123,2,3,6,0,0.545454545
7/7/2016,930,2,1,6,0,0.666666667
7/8/2016,1091,0,0,2,0,1
7/9/2016,1144,2,1,1,0,0.25
7/10/2016,1180,1,3,4,0,0.5
7/11/2016,931,2,2,2,0,0.333333333
7/12/2016,976,1,1,1,0,0.333333333
7/13/2016,919,1,0,4,0,0.8
7/14/2016,891,3,0,3,0,0.5
7/15/2016,901,2,0,2,0,0.5
7/16/2016,1003,0,1,1,0,0.5
7/17/2016,1132,0,5,2,0,0.285714286
7/18/2016,878,2,2,4,0,0.5
7/19/2016,871,0,1,4,0,0.8
7/20/2016,773,2,0,1,0,0.333333333
7/21/2016,889,2,1,2,0,0.4
7/22/2016,947,1,1,4,0,0.666666667
7/23/2016,940,2,3,3,0,0.375
7/24/2016,1100,1,0,3,0,0.75
7/25/2016,885,1,2,0,0,0
7/26/2016,846,1,2,2,0,0.4
7/27/2016,847,0,1,1,0,0.5
7/28/2016,717,1,0,2,0,0.666666667
7/29/2016,898,0,1,2,0,0.666666667
7/30/2016,920,1,2,1,0,0.25
7/31/2016,1038,1,0,2,0,0.666666667
8/1/2016,847,1,0,3,0,0.75
8/2/2016,749,1,2,4,0,0.571428571
8/3/2016,972,2,1,0,0,0
8/4/2016,1101,1,1,4,0,0.666666667
8/5/2016,1273,3,2,8,0,0.615384615
8/6/2016,1341,0,0,7,0,1
8/7/2016,2983,4,3,6,0,0.461538462
8/8/2016,2576,5,5,11,0,0.523809524
8/9/2016,2170,1,3,7,0,0.636363636
8/10/2016,1897,3,2,7,0,0.583333333
8/11/2016,1790,4,1,2,0,0.285714286
8/12/2016,1548,4,0,2,0,0.333333333
8/13/2016,1629,2,4,10,0,0.625
8/14/2016,1704,2,0,2,0,0.5
8/15/2016,1464,5,0,2,0,0.285714286
8/16/2016,1302,3,0,2,0,0.4
8/17/2016,1156,2,5,5,0,0.416666667
8/18/2016,1167,5,1,3,0,0.333333333
8/19/2016,1318,1,3,5,0,0.555555556
8/20/2016,1467,3,3,2,0,0.25
8/21/2016,1540,2,5,1,0,0.125
8/22/2016,1203,4,2,10,0,0.625
8/23/2016,1095,3,0,2,0,0.4
8/24/2016,1059,1,3,7,0,0.636363636
8/25/2016,1064,1,1,1,0,0.333333333
8/26/2016,858,1,1,2,0,0.5
8/27/2016,1190,3,0,2,0,0.4
8/28/2016,1393,4,3,1,0,0.125
8/29/2016,1130,2,4,2,0,0.25
8/30/2016,891,2,3,1,0,0.166666667
8/31/2016,775,0,1,4,0,0.8
9/1/2016,747,2,0,2,0,0.5
9/2/2016,874,0,1,2,0,0.666666667
9/3/2016,836,2,1,1,0,0.25
9/4/2016,1081,0,4,4,0,0.5
9/5/2016,639,0,0,0,0,#DIV/0!
9/6/2016,814,3,1,2,0,0.333333333
9/7/2016,712,2,1,1,0,0.25
9/8/2016,753,1,1,3,0,0.6
9/9/2016,912,0,0,1,0,1
9/10/2016,943,1,0,3,0,0.75
9/11/2016,1074,1,2,4,0,0.571428571
9/12/2016,798,0,2,1,0,0.333333333
9/13/2016,757,1,0,4,0,0.8
9/14/2016,818,0,4,6,0,0.6
9/15/2016,764,3,3,4,0,0.4
9/16/2016,885,0,2,3,0,0.6
9/17/2016,1032,3,0,4,0,0.571428571
9/18/2016,1067,1,1,0,0,0
9/19/2016,798,0,1,2,0,0.666666667
9/20/2016,927,0,0,3,0,1
9/21/2016,927,1,3,1,0,0.2
9/22/2016,840,1,1,4,0,0.666666667
9/23/2016,896,0,2,3,0,0.6
9/24/2016,1109,3,2,1,0,0.166666667
9/25/2016,1187,2,1,3,0,0.5
9/26/2016,938,4,1,0,0,0
9/27/2016,850,0,0,1,0,1
9/28/2016,811,2,1,1,0,0.25
9/29/2016,839,0,1,2,0,0.666666667
9/30/2016,1019,1,3,4,0,0.5
10/1/2016,1094,2,3,0,0,0
10/2/2016,1255,1,4,2,0,0.285714286
10/3/2016,961,2,3,0,0,0
10/4/2016,936,1,2,0,0,0
10/5/2016,927,1,0,2,0,0.666666667
10/6/2016,961,1,3,3,0,0.428571429
10/7/2016,1008,2,0,2,0,0.5
10/8/2016,1139,0,0,3,0,1
10/9/2016,1220,0,0,2,0,1
10/10/2016,914,2,0,2,0,0.5
10/11/2016,954,0,1,1,0,0.5
10/12/2016,851,0,0,2,0,1
10/13/2016,844,0,2,0,0,0
10/14/2016,965,1,0,3,0,0.75
10/15/2016,1037,0,0,4,0,1
10/16/2016,1343,1,0,4,0,0.8
10/17/2016,944,0,2,1,0,0.333333333
10/18/2016,1004,2,1,1,0,0.25
10/19/2016,916,1,0,0,0,0
10/20/2016,872,0,0,1,0,1
10/21/2016,852,0,0,1,0,1
10/22/2016,917,1,1,0,0,0
10/23/2016,1065,0,2,1,0,0.333333333
10/24/2016,680,1,0,1,0,0.5
10/25/2016,716,1,1,1,0,0.333333333
10/26/2016,733,0,1,2,0,0.666666667
10/27/2016,711,0,0,4,0,1
10/28/2016,747,0,1,1,0,0.5
10/29/2016,902,0,0,1,0,1
10/30/2016,952,0,0,0,0,#DIV/0!
10/31/2016,720,0,0,1,0,1
11/1/2016,794,2,3,4,0,0.444444444
11/2/2016,1716,0,1,7,0,0.875
11/3/2016,1583,1,2,7,0,0.7
11/4/2016,1514,1,2,6,0,0.666666667
11/5/2016,1716,2,2,5,0,0.555555556
11/6/2016,1950,0,5,5,0,0.5
11/7/2016,1326,2,1,8,0,0.727272727
11/8/2016,1355,3,1,7,0,0.636363636
11/9/2016,1253,3,1,5,0,0.555555556
11/10/2016,5833,25,17,45,0,0.517241379
11/11/2016,10978,89,61,158,0,0.512987013
11/12/2016,11503,68,70,164,0,0.543046358
11/13/2016,10402,55,64,131,0,0.524
11/14/2016,4924,17,22,60,0,0.606060606
11/15/2016,4225,12,8,29,0,0.591836735
11/16/2016,3573,4,6,21,0,0.677419355
11/17/2016,3207,4,7,12,0,0.52173913
11/18/2016,3239,5,4,12,0,0.571428571
11/19/2016,3565,3,5,9,0,0.529411765
11/20/2016,3587,3,2,10,0,0.666666667
11/21/2016,2622,3,4,9,0,0.5625
11/22/2016,2009,4,3,5,0,0.416666667
11/23/2016,2408,17,19,99,0,0.733333333
11/24/2016,2356,11,19,72,0,0.705882353
11/25/2016,2614,12,19,39,0,0.557142857
11/26/2016,2913,7,14,44,0,0.676923077
11/27/2016,3004,8,14,34,0,0.607142857
11/28/2016,2168,5,6,22,0,0.666666667
11/29/2016,2256,1,3,11,0,0.733333333
11/30/2016,1990,3,0,11,0,0.785714286
12/1/2016,1987,2,3,6,0,0.545454545
12/2/2016,2117,2,2,8,0,0.666666667
12/3/2016,2460,2,3,4,0,0.444444444
12/4/2016,2835,2,1,2,0,0.4
12/5/2016,1886,0,3,5,0,0.625
12/6/2016,1967,2,1,6,0,0.666666667
12/7/2016,1828,1,3,5,0,0.555555556
12/8/2016,1813,4,1,4,0,0.444444444
12/9/2016,2097,0,1,6,0,0.857142857
12/10/2016,2347,2,3,7,0,0.583333333
12/11/2016,2429,2,1,5,0,0.625
12/12/2016,1791,2,2,3,0,0.428571429
12/13/2016,2001,2,2,3,0,0.428571429
12/14/2016,1659,1,2,3,0,0.5
12/15/2016,2166,1,1,7,0,0.777777778
12/16/2016,1965,1,1,7,0,0.777777778
12/17/2016,2317,4,4,8,0,0.5
12/18/2016,2550,2,3,6,0,0.545454545
12/19/2016,1921,2,3,5,0,0.5
12/20/2016,1963,2,2,4,0,0.5
12/21/2016,1928,0,3,4,0,0.571428571
12/22/2016,1860,1,3,10,0,0.714285714
12/23/2016,2096,4,2,10,0,0.625
12/24/2016,2001,4,3,12,0,0.631578947
12/25/2016,2237,4,3,10,0,0.588235294
12/26/2016,2781,3,4,8,0,0.533333333
12/27/2016,2639,4,1,7,0,0.583333333
12/28/2016,2753,5,2,10,0,0.588235294
12/29/2016,2573,1,4,5,0,0.5
12/30/2016,2738,3,4,9,0,0.5625
12/31/2016,2532,4,5,7,0,0.4375
1/1/2017,2604,2,5,14,0,0.666666667
1/2/2017,2899,7,7,11,0,0.44
1/3/2017,2365,2,7,6,0,0.4
1/4/2017,2110,3,3,3,0,0.333333333
1/5/2017,2194,4,1,4,0,0.444444444
1/6/2017,1621,2,5,8,0,0.533333333
1/7/2017,2601,0,4,3,0,0.428571429
1/8/2017,2614,2,1,5,0,0.625
1/9/2017,1879,2,3,5,0,0.5
1/10/2017,1826,2,2,2,0,0.333333333
1/11/2017,1589,1,1,8,0,0.8
